 .,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
.,UN,State Unassigned,UN_Unassigned,Unassigned,0,0,0,0,0,0,0,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,51,19,32,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,434,0,434,0,0,0,0,0,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,172242,9715,161432,1095,0,980,27,951,2,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,268091,6291,259832,1968,0,328,-2010,2337,1,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,305724,9262,295166,1296,0,1066,784,282,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,193528,11309,180956,1263,0,1342,1142,200,0,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,127692,6420,119790,1482,0,873,820,53,0,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,136255,9216,126182,857,0,1835,952,883,0,,
0,AP,Andhra Pradesh,AP_Other State,Other State,2461,0,2461,0,0,0,0,0,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,150787,11416,138237,1134,0,1259,1170,88,1,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,158918,10607,147239,1072,0,1007,742,264,1,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,132320,6799,124724,797,0,259,150,109,0,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,184447,13289,169992,1166,0,1349,-2388,3734,3,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,90588,4161,85752,675,0,469,-116,584,1,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,186052,3327,181595,1130,0,676,556,120,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,126508,7681,118183,644,0,2031,1346,685,0,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,1088,11,1074,3,0,4,1,3,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,4172,136,4014,22,0,8,-12,20,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,1165,45,1120,0,0,26,21,5,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,3480,148,3315,17,0,31,9,22,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,541,22,519,0,0,10,8,2,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,270,0,270,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,515,2,512,1,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,948,56,889,3,0,27,21,6,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,3229,153,3048,28,0,33,5,28,0,,
26,AR,Arunachal Pradesh,AR_Longding,Longding,824,47,775,2,0,15,12,3,0,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,2748,167,2570,11,0,10,-21,31,0,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,808,22,778,8,0,3,-1,4,0,,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,3273,185,3073,15,0,27,14,13,0,,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,2523,145,2361,17,0,24,-50,74,0,,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,481,15,466,0,0,0,-3,3,0,,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,20998,1576,19323,99,0,154,-8,161,1,,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,302,19,283,0,0,3,-3,6,0,,
34,AR,Arunachal Pradesh,AR_Siang,Siang,429,13,413,3,0,1,1,0,0,,
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,2762,85,2656,21,0,17,6,11,0,,
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,1225,90,1130,5,0,5,3,2,0,,
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,370,25,343,2,0,3,3,0,0,,
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,1082,58,1023,1,0,7,6,1,0,,
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,1989,24,1959,6,0,5,0,5,0,,
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,4028,208,3805,15,0,17,-12,29,0,,
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,1997,80,1911,6,0,25,23,2,0,,
0,AS,Assam,AS_Airport Quarantine,Airport Quarantine,13,0,13,0,0,0,0,0,0,,
42,AS,Assam,AS_Baksa,Baksa,7888,7372,447,69,0,66,66,0,0,,
43,AS,Assam,AS_Barpeta,Barpeta,16683,15467,1024,192,0,169,168,0,1,,
44,AS,Assam,AS_Biswanath,Biswanath,10343,9902,379,62,0,61,59,0,2,,
45,AS,Assam,AS_Bongaigaon,Bongaigaon,7886,6968,834,84,0,90,90,0,0,,
46,AS,Assam,AS_Cachar,Cachar,29063,27343,1498,222,0,65,64,0,1,,
47,AS,Assam,AS_Charaideo,Charaideo,4528,4365,105,58,0,40,40,0,0,,
48,AS,Assam,AS_Chirang,Chirang,3569,3310,219,40,0,25,25,0,0,,
49,AS,Assam,AS_Darrang,Darrang,13684,11832,1730,122,0,150,148,0,2,,
50,AS,Assam,AS_Dhemaji,Dhemaji,9727,9239,440,48,0,92,92,0,0,,
51,AS,Assam,AS_Dhubri,Dhubri,10141,8872,1215,54,0,0,0,0,0,,
52,AS,Assam,AS_Dibrugarh,Dibrugarh,39494,36661,2409,424,0,120,119,0,1,,
53,AS,Assam,AS_Dima Hasao,Dima Hasao,4370,4152,199,19,0,18,18,0,0,,
54,AS,Assam,AS_Goalpara,Goalpara,13213,38,568,93,0,175,175,0,0,,
55,AS,Assam,AS_Golaghat,Golaghat,26769,24838,1656,275,0,168,168,0,0,,
56,AS,Assam,AS_Hailakandi,Hailakandi,7313,6159,1116,38,0,24,24,0,0,,
57,AS,Assam,AS_Hojai,Hojai,8809,7533,1160,116,0,29,29,0,0,,
58,AS,Assam,AS_Jorhat,Jorhat,30728,28624,1752,352,0,144,144,0,0,,
59,AS,Assam,AS_Kamrup,Kamrup,37300,34946,2074,280,0,180,179,0,1,,
